date,month_trend
2004-01,10
2004-02,9
2004-03,8
2004-04,9
2004-05,7
2004-06,7
2004-07,7
2004-08,7
2004-09,7
2004-10,8
2004-11,10
2004-12,9
2005-01,9
2005-02,9
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,8
2005-08,7
2005-09,6
2005-10,7
2005-11,7
2005-12,8
2006-01,9
2006-02,7
2006-03,7
2006-04,7
2006-05,6
2006-06,6
2006-07,6
2006-08,6
2006-09,6
2006-10,6
2006-11,6
2006-12,6
2007-01,7
2007-02,6
2007-03,7
2007-04,6
2007-05,6
2007-06,6
2007-07,7
2007-08,7
2007-09,5
2007-10,6
2007-11,6
2007-12,5
2008-01,9
2008-02,7
2008-03,7
2008-04,6
2008-05,5
2008-06,5
2008-07,6
2008-08,4
2008-09,7
2008-10,12
2008-11,10
2008-12,7
2009-01,7
2009-02,8
2009-03,11
2009-04,8
2009-05,7
2009-06,6
2009-07,7
2009-08,7
2009-09,6
2009-10,7
2009-11,7
2009-12,6
2010-01,7
2010-02,6
2010-03,6
2010-04,6
2010-05,7
2010-06,6
2010-07,6
2010-08,5
2010-09,5
2010-10,6
2010-11,5
2010-12,5
2011-01,6
2011-02,5
2011-03,5
2011-04,5
2011-05,4
2011-06,5
2011-07,5
2011-08,10
2011-09,6
2011-10,6
2011-11,5
2011-12,4
2012-01,5
2012-02,5
2012-03,5
2012-04,5
2012-05,5
2012-06,4
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,5
2012-12,4
2013-01,6
2013-02,5
2013-03,6
2013-04,6
2013-05,6
2013-06,5
2013-07,5
2013-08,5
2013-09,5
2013-10,7
2013-11,5
2013-12,5
2014-01,7
2014-02,7
2014-03,7
2014-04,7
2014-05,6
2014-06,6
2014-07,6
2014-08,7
2014-09,7
2014-10,10
2014-11,8
2014-12,8
2015-01,10
2015-02,9
2015-03,9
2015-04,8
2015-05,7
2015-06,7
2015-07,9
2015-08,12
2015-09,11
2015-10,10
2015-11,8
2015-12,9
2016-01,15
2016-02,14
2016-03,12
2016-04,10
2016-05,10
2016-06,13
2016-07,11
2016-08,10
2016-09,10
2016-10,9
2016-11,14
2016-12,11
2017-01,11
2017-02,12
2017-03,13
2017-04,11
2017-05,12
2017-06,11
2017-07,11
2017-08,13
2017-09,11
2017-10,12
2017-11,12
2017-12,13
2018-01,17
2018-02,29
2018-03,19
2018-04,19
2018-05,15
2018-06,15
2018-07,15
2018-08,16
2018-09,14
2018-10,23
2018-11,20
2018-12,27
2019-01,24
2019-02,19
2019-03,18
2019-04,18
2019-05,21
2019-06,18
2019-07,19
2019-08,25
2019-09,18
2019-10,20
2019-11,19
2019-12,19
2020-01,23
2020-02,34
2020-03,100
2020-04,63
2020-05,43
2020-06,49
2020-07,40
2020-08,35
2020-09,40
2020-10,33
2020-11,36
2020-12,32
2021-01,32
2021-02,35
2021-03,37
2021-04,32
2021-05,31
2021-06,28
2021-07,29
2021-08,29
2021-09,32
2021-10,31
2021-11,31
2021-12,37
2022-01,49
2022-02,48
2022-03,43
2022-04,37
2022-05,54
2022-06,53
2022-07,43
2022-08,47
2022-09,48
2022-10,46
2022-11,42
2022-12,39
2023-01,43
2023-02,42
2023-03,43
2023-04,35
2023-05,35
2023-06,38
2023-07,34
2023-08,40
